sales,age,coupon
44.571,38,1
51.761,44,0
10.296,24,0
49.373,39,0
49.99,37,0
37.488,28,1
56.728,33,0
26.553,37,0
45.053,53,1
40.94,49,1
50.692,28,1
41.532,50,1
23.87,39,1
36.535,35,1
53.441,39,0
50.258,34,0
52.421,34,1
36.566,42,1
49.462,42,1
36.995,42,1
46.643,38,1
67.007,29,0
38.35,39,1
59.514,43,0
53.966,37,1
34.363,40,0
29.388,39,1
55.467,33,1
34.773,36,0
45.292,31,0
52.137,39,1
40.588,29,0
39.521,30,0
42.634,31,0
36.054,20,1
49.841,42,1
63.033,37,1
56.312,31,0
53.024,42,1
41.197,26,0
44.609,34,0
46.503,34,0
40.06,37,1
46.33,37,1
31.78,31,1
37.2,35,0
39.87,34,1
54.447,38,0
37.439,40,1
36.165,41,1
50.625,31,0
39.357,35,0
50.586,29,1
41.738,29,0
44.003,35,0
53.031,43,0
36.761,31,0
53.765,37,0
38.536,34,1
49.763,41,0
56.101,30,1
55.412,35,1
42.496,38,0
39.511,41,1
45.14,43,0
46.382,35,0
43.502,28,1
53.403,31,1
53.095,30,0
30.743,47,0
46.27,32,1
27.81,39,0
53.165,34,0
33.04,39,1
49.644,31,0
59.994,28,0
48.854,28,0
36.181,37,1
61.663,34,0
52.248,34,0
45.77,42,1
36.321,36,0
38.391,36,1
46.62,43,0
57.015,31,0
49.641,38,1
39.494,39,1
38.902,34,1
67.956,36,1
30.156,29,1
33.344,29,0
52.913,36,0
43.093,39,1
59.314,48,1
30.919,32,0
34.115,36,1
29.869,35,1
23.943,25,1
41.996,33,0
31.447,26,0
65.208,39,0
19.784,31,0
48.182,36,0
47.054,32,1
49.992,37,0
41.689,32,1
43.164,37,0
41.542,39,1
40.458,44,1
44.995,34,0
32.246,24,0
40.09,31,1
48.859,42,1
50.641,30,1
43.601,40,1
36.794,36,1
49.858,42,1
37.86,25,0
38.215,34,1
31.042,29,0
33.086,50,0
36.738,39,1
38.731,42,1
36.286,30,0
53.449,33,0
32.139,34,0
45.167,40,0
45.345,34,0
37.544,39,0
25.27,25,0
55.954,33,0
48.93,31,0
48.673,27,1
38.098,38,1
55.141,36,0
47.32,35,1
30.677,28,1
34.725,41,0
54.306,37,1
21.211,34,0
37.034,35,0
52.241,34,0
36.173,26,1
28.405,34,1
37.886,31,1
46.802,30,0
46.304,29,1
38.181,32,0
37.249,25,1
66.017,40,0
49.519,38,0
35.329,35,1
41.908,35,1
44.333,31,0
24.472,40,1
41.582,34,1
37.073,31,1
46.205,42,1
40.028,34,1
66.053,32,0
48.164,34,0
42.938,31,0
51.532,29,0
56.835,48,1
49.917,43,1
38.418,37,0
23.218,29,1
57.417,31,1
29.483,34,0
24.603,39,0
38.549,28,1
15.293,23,0
24.45,28,1
25.622,37,1
46.922,37,1
35.187,37,0
